GCAM_state,REM_region
Alabama,rous
Arizona,Arizona
Arkansas,rous
California,California
Colorado,Colorado
Connecticut,rous
Delaware,rous
District of Columbia,rous
Florida,rous
Georgia,rous
Idaho,Idaho
Illinois,rous
Indiana,rous
Iowa,rous
Kansas,rous
Kentucky,rous
Louisiana,rous
Maine,rous
Maryland,rous
Massachusetts,rous
Michigan,rous
Minnesota,rous
Mississippi,rous
Missouri,rous
Montana,Montana
Nebraska,rous
Nevada,Nevada
New Hampshire,rous
New Jersey,rous
New Mexico,NewMexico
New York,rous
North Carolina,rous
North Dakota,rous
Ohio,rous
Oklahoma,rous
Oregon,Oregon
Pennsylvania,rous
Rhode Island,rous
South Carolina,rous
South Dakota,rous
Tennessee,rous
Texas,rous
Utah,Utah
Vermont,rous
Virginia,rous
Washington,Washington
West Virginia,rous
Wisconsin,rous
Wyoming,Wyoming